name	value	type	default	description	file	line
IGNITE_CACHE_REMOVED_ENTRIES_TTL	IGNITE_CACHE_REMOVED_ENTRIES_TTL	Integer	"" + DFLT_ATOMIC_CACHE_DELETE_HISTORY_SIZE + " per partition"	Maximum size for atomic cache queue delete history	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	516
IGNITE_TCP_DISCOVERY_ADDRESSES	IGNITE_TCP_DISCOVERY_ADDRESSES	Long	"" + DFLT_CACHE_REMOVE_ENTRIES_TTL	Ttl of removed cache entries in milliseconds	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	525
IGNITE_PERFORMANCE_SUGGESTIONS_DISABLED	IGNITE_PERFORMANCE_SUGGESTIONS_DISABLED	String		Comma separated list of addresses in format  \\"10.100.22.100:45000,10.100.22.101:45000\\". Used only for  org.apache.ignite.spi.discovery.tcp.ipfinder.vm.TcpDiscoveryVmIpFinder	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	531
IGNITE_ALLOW_MIXED_CACHE_GROUPS	IGNITE_ALLOW_MIXED_CACHE_GROUPS		"false"	Allows mixed cache groups	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	538
IGNITE_ATOMIC_DEFERRED_ACK_BUFFER_SIZE	IGNITE_ATOMIC_DEFERRED_ACK_BUFFER_SIZE		"false"	Allows mixed cache groups	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	545
IGNITE_ATOMIC_DEFERRED_ACK_TIMEOUT	IGNITE_ATOMIC_DEFERRED_ACK_TIMEOUT	Integer	"" + DFLT_ATOMIC_DEFERRED_ACK_BUFFER_SIZE	Atomic cache deferred update response buffer size	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	552
IGNITE_ATOMIC_CACHE_QUEUE_RETRY_TIMEOUT	IGNITE_ATOMIC_CACHE_QUEUE_RETRY_TIMEOUT	Integer	"" + DFLT_ATOMIC_DEFERRED_ACK_TIMEOUT	Atomic cache deferred update timeout	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	559
IGNITE_DEFERRED_ONE_PHASE_COMMIT_ACK_REQUEST_TIMEOUT	IGNITE_DEFERRED_ONE_PHASE_COMMIT_ACK_REQUEST_TIMEOUT	Integer	"" + DFLT_ATOMIC_CACHE_QUERY_RETRY_TIMEOUT	Atomic cache deferred update timeout	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	566
IGNITE_DEFERRED_ONE_PHASE_COMMIT_ACK_REQUEST_BUFFER_SIZE	IGNITE_DEFERRED_ONE_PHASE_COMMIT_ACK_REQUEST_BUFFER_SIZE	Integer	"" + DFLT_DEFERRED_ONE_PHASE_COMMIT_ACK_REQUEST_TIMEOUT	One phase commit deferred ack request timeout	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	574
IGNITE_H2_DEBUG_CONSOLE	IGNITE_H2_DEBUG_CONSOLE	String		Enables debug console for H2 indexing SPI	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	585
IGNITE_H2_DEBUG_CONSOLE_PORT	IGNITE_H2_DEBUG_CONSOLE_PORT				modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	599
IGNITE_SKIP_CONFIGURATION_CONSISTENCY_CHECK	IGNITE_SKIP_CONFIGURATION_CONSISTENCY_CHECK				modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	605
IGNITE_CACHE_KEY_VALIDATION_DISABLED	IGNITE_CACHE_KEY_VALIDATION_DISABLED				modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	615
IGNITE_LOG_DIR	IGNITE_LOG_DIR	String		Logging directory. Overrides configuration value	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	621
IGNITE_WORK_DIR	IGNITE_WORK_DIR	String		Logging directory. Overrides configuration value	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	629
IGNITE_MBEAN_APPEND_JVM_ID	IGNITE_MBEAN_APPEND_JVM_ID				modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	644
