name	value	type	default	description	file	line
IGNITE_WAL_MMAP	IGNITE_WAL_MMAP		"" + DFLT_WAL_MMAP	Enables usage of the mapped byte buffer	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	1098
IGNITE_DATA_STORAGE_FOLDER_BY_CONSISTENT_ID	IGNITE_DATA_STORAGE_FOLDER_BY_CONSISTENT_ID		"" + DFLT_WAL_MMAP	Enables usage of the mapped byte buffer	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	1108
IGNITE_JVM_PAUSE_DETECTOR_DISABLED	IGNITE_JVM_PAUSE_DETECTOR_DISABLED				modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	1112
IGNITE_JVM_PAUSE_DETECTOR_PRECISION	IGNITE_JVM_PAUSE_DETECTOR_PRECISION	Integer	"" + DFLT_JVM_PAUSE_DETECTOR_PRECISION	JVM pause detector precision	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	1117
IGNITE_JVM_PAUSE_DETECTOR_THRESHOLD	IGNITE_JVM_PAUSE_DETECTOR_THRESHOLD	Integer	"" + DFLT_JVM_PAUSE_DETECTOR_PRECISION	JVM pause detector precision	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	1122
IGNITE_JVM_PAUSE_DETECTOR_LAST_EVENTS_COUNT	IGNITE_JVM_PAUSE_DETECTOR_LAST_EVENTS_COUNT	Integer	"" + DEFAULT_JVM_PAUSE_DETECTOR_THRESHOLD	JVM pause detector threshold	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	1127
IGNITE_THIN_CLIENT_ASYNC_REQUESTS_WAIT_TIMEOUT	IGNITE_THIN_CLIENT_ASYNC_REQUESTS_WAIT_TIMEOUT	Long	"" + DFLT_ASYNC_REQUEST_WAIT_TIMEOUT_MILLIS	Timeout in milliseconds that determines how long Ignite will synchronously wait for  asynchronous thin client requests to complete before releasing the thread	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	1138
IGNITE_WAL_DEBUG_LOG_ON_RECOVERY	IGNITE_WAL_DEBUG_LOG_ON_RECOVERY				modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	1147
IGNITE_PDS_MAX_CHECKPOINT_MEMORY_HISTORY_SIZE	IGNITE_PDS_MAX_CHECKPOINT_MEMORY_HISTORY_SIZE	Integer	"" + DFLT_PDS_MAX_CHECKPOINT_MEMORY_HISTORY_SIZE	Number of checkpoint history entries held in memory	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	1154
IGNITE_DIRECT_IO_ENABLED	IGNITE_DIRECT_IO_ENABLED		"true"	Enables direct IO. Direct IO enabled only if JAR  file with corresponding feature is available in classpath and OS and filesystem settings allows to enable  this mode	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	1164
IGNITE_DELAYED_REPLACED_PAGE_WRITE	IGNITE_DELAYED_REPLACED_PAGE_WRITE		"" + DFLT_DELAYED_REPLACED_PAGE_WRITE	When set to true (default), pages are written to page store without  holding segment lock (with delay). Because other thread may require exactly the same page to be loaded  from store, reads are protected by locking	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	1173
IGNITE_WAL_FSYNC_WITH_DEDICATED_WORKER	IGNITE_WAL_FSYNC_WITH_DEDICATED_WORKER		"" + DFLT_DELAYED_REPLACED_PAGE_WRITE	When set to true (default), pages are written to page store without  holding segment lock (with delay). Because other thread may require exactly the same page to be loaded  from store, reads are protected by locking	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	1181
IGNITE_DISABLE_ONHEAP_CACHE	IGNITE_DISABLE_ONHEAP_CACHE				modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	1190
IGNITE_LOADED_PAGES_BACKWARD_SHIFT_MAP	IGNITE_LOADED_PAGES_BACKWARD_SHIFT_MAP		"" + DFLT_LOADED_PAGES_BACKWARD_SHIFT_MAP	When set to false, loaded pages implementation is switched to previous  version of implementation, FullPageIdTable. True value enables 'Robin Hood hashing: backward shift  deletion'	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	1200
IGNITE_CHECKPOINT_TRIGGER_ARCHIVE_SIZE_PERCENTAGE	IGNITE_CHECKPOINT_TRIGGER_ARCHIVE_SIZE_PERCENTAGE		"" + DFLT_LOADED_PAGES_BACKWARD_SHIFT_MAP	When set to false, loaded pages implementation is switched to previous  version of implementation, FullPageIdTable. True value enables 'Robin Hood hashing: backward shift  deletion'	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	1207
IGNITE_THRESHOLD_WAL_ARCHIVE_SIZE_PERCENTAGE	IGNITE_THRESHOLD_WAL_ARCHIVE_SIZE_PERCENTAGE	Double		Property for setup percentage of WAL archive size to calculate threshold since which  removing of old archive should be started	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	1217
IGNITE_THRESHOLD_WAIT_TIME_NEXT_WAL_SEGMENT	IGNITE_THRESHOLD_WAIT_TIME_NEXT_WAL_SEGMENT	Long	DFLT_THRESHOLD_WAIT_TIME_NEXT_WAL_SEGMENT + " milliseconds"	Threshold time (in millis) to print warning to log if waiting for next wal  segment took longer than the threshold	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	1228
IGNITE_WAL_COMPRESSOR_WORKER_THREAD_CNT	IGNITE_WAL_COMPRESSOR_WORKER_THREAD_CNT	Long	DFLT_THRESHOLD_WAIT_TIME_NEXT_WAL_SEGMENT + " milliseconds"	Threshold time (in millis) to print warning to log if waiting for next wal  segment took longer than the threshold	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	1235
IGNITE_READ_LOAD_BALANCING	IGNITE_READ_LOAD_BALANCING		"" + DFLT_READ_LOAD_BALANCING	Enables read load balancing, that means 'get' requests will be distributed  between primary and backup nodes if it is possible and CacheConfiguration.isReadFromBackup() is true. 	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	1248
IGNITE_BPLUS_TREE_LOCK_RETRIES	IGNITE_BPLUS_TREE_LOCK_RETRIES		"" + DFLT_READ_LOAD_BALANCING	Enables read load balancing, that means 'get' requests will be distributed  between primary and backup nodes if it is possible and CacheConfiguration.isReadFromBackup() is true. 	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	1255
IGNITE_BPLUS_TREE_DISABLE_METRICS	IGNITE_BPLUS_TREE_DISABLE_METRICS	Integer	"" + IGNITE_BPLUS_TREE_LOCK_RETRIES_DEFAULT	Number of repetitions to capture a lock in the B+Tree	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	1261
IGNITE_FAILURE_HANDLER_RESERVE_BUFFER_SIZE	IGNITE_FAILURE_HANDLER_RESERVE_BUFFER_SIZE	Integer	"" + DFLT_FAILURE_HANDLER_RESERVE_BUFFER_SIZE	Amount of memory reserved in the heap at node start, which can be dropped  to increase the chances of success when handling OutOfMemoryError	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	1272
IGNITE_PART_DISTRIBUTION_WARN_THRESHOLD	IGNITE_PART_DISTRIBUTION_WARN_THRESHOLD	Float	"" + DFLT_PART_DISTRIBUTION_WARN_THRESHOLD	The threshold of uneven distribution above which partition distribution  will be logged	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	1281
IGNITE_DISABLE_WAL_DURING_REBALANCING	IGNITE_DISABLE_WAL_DURING_REBALANCING	Float	"" + DFLT_PART_DISTRIBUTION_WARN_THRESHOLD	The threshold of uneven distribution above which partition distribution  will be logged	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	1290
IGNITE_DISABLE_REBALANCING_CANCELLATION_OPTIMIZATION	IGNITE_DISABLE_REBALANCING_CANCELLATION_OPTIMIZATION				modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	1302
IGNITE_SKIP_PARTITION_SIZE_VALIDATION	IGNITE_SKIP_PARTITION_SIZE_VALIDATION				modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	1320
IGNITE_DUMP_THREADS_ON_FAILURE	IGNITE_DUMP_THREADS_ON_FAILURE				modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	1328
IGNITE_DUMP_THREADS_ON_FAILURE_THROTTLING_TIMEOUT	IGNITE_DUMP_THREADS_ON_FAILURE_THROTTLING_TIMEOUT	Long		Throttling time out for thread dump generation during failure handling  in milliseconds. Default is failure detection timeout. 0 or negative value - throttling is disabled	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	1338
IGNITE_UNWIND_THROTTLING_TIMEOUT	IGNITE_UNWIND_THROTTLING_TIMEOUT	Long	"" + DFLT_UNWIND_THROTTLING_TIMEOUT	Throttling timeout in milliseconds which avoid excessive PendingTree access on  unwind if there is nothing to clean yet	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	1349
IGNITE_THROTTLE_LOG_THRESHOLD	IGNITE_THROTTLE_LOG_THRESHOLD	Long	"" + DFLT_UNWIND_THROTTLING_TIMEOUT	Throttling timeout in milliseconds which avoid excessive PendingTree access on  unwind if there is nothing to clean yet	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	1356
IGNITE_EVICTION_PERMITS	IGNITE_EVICTION_PERMITS	Integer		Number of concurrent operation for evict partitions	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	1366
IGNITE_ALLOW_DML_INSIDE_TRANSACTION	IGNITE_ALLOW_DML_INSIDE_TRANSACTION	Integer		Number of concurrent operation for evict partitions	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	1376
IGNITE_ZOOKEEPER_DISCOVERY_RETRY_TIMEOUT	IGNITE_ZOOKEEPER_DISCOVERY_RETRY_TIMEOUT	Long	"2 seconds"	Timeout between ZooKeeper client retries in milliseconds	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	1383
IGNITE_ZOOKEEPER_DISCOVERY_MAX_RETRY_COUNT	IGNITE_ZOOKEEPER_DISCOVERY_MAX_RETRY_COUNT	Long	"2 seconds"	Timeout between ZooKeeper client retries in milliseconds	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	1390
IGNITE_REUSE_MEMORY_ON_DEACTIVATE	IGNITE_REUSE_MEMORY_ON_DEACTIVATE	Integer	"10"	Number of attempts to reconnect to ZooKeeper	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	1396
IGNITE_SYSTEM_WORKER_BLOCKED_TIMEOUT	IGNITE_SYSTEM_WORKER_BLOCKED_TIMEOUT	Long		Maximum inactivity period for system worker in milliseconds. When this  value is exceeded, worker is considered blocked with consequent critical failure handler invocation	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	1405
IGNITE_CHECKPOINT_READ_LOCK_TIMEOUT	IGNITE_CHECKPOINT_READ_LOCK_TIMEOUT	Long		Maximum inactivity period for system worker in milliseconds. When this  value is exceeded, worker is considered blocked with consequent critical failure handler invocation	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	1411
IGNITE_WAIT_SCHEMA_UPDATE	IGNITE_WAIT_SCHEMA_UPDATE	Long		Timeout for checkpoint read lock acquisition in milliseconds	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	1418
IGNITE_REBALANCE_THROTTLE_OVERRIDE	IGNITE_REBALANCE_THROTTLE_OVERRIDE	Long	"0"	Overrides CacheConfiguration.getRebalanceThrottle  configuration property for all caches in milliseconds. 0 by default, which means that override is disabled	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	1429
IGNITE_ALLOW_START_CACHES_IN_PARALLEL	IGNITE_ALLOW_START_CACHES_IN_PARALLEL		"" + DFLT_ALLOW_START_CACHES_IN_PARALLEL	Allows to start multiple caches in parallel	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	1438
IGNITE_RECOVERY_VERBOSE_LOGGING	IGNITE_RECOVERY_VERBOSE_LOGGING		"" + DFLT_ALLOW_START_CACHES_IN_PARALLEL	Allows to start multiple caches in parallel	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	1447
IGNITE_DISABLE_TRIGGERING_CACHE_INTERCEPTOR_ON_CONFLICT	IGNITE_DISABLE_TRIGGERING_CACHE_INTERCEPTOR_ON_CONFLICT				modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	1455
IGNITE_DEFAULT_DISK_PAGE_COMPRESSION	IGNITE_DEFAULT_DISK_PAGE_COMPRESSION	DiskPageCompression		Disk page compression - CacheConfiguration#setDiskPageCompression	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	1463
IGNITE_DEFAULT_DATA_STORAGE_PAGE_SIZE	IGNITE_DEFAULT_DATA_STORAGE_PAGE_SIZE	DiskPageCompression		Disk page compression - CacheConfiguration#setDiskPageCompression	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	1469
IGNITE_DISCOVERY_DISABLE_CACHE_METRICS_UPDATE	IGNITE_DISCOVERY_DISABLE_CACHE_METRICS_UPDATE				modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	1483
IGNITE_SQL_MAX_EXTRACTED_PARTS_FROM_BETWEEN	IGNITE_SQL_MAX_EXTRACTED_PARTS_FROM_BETWEEN	Integer	"16"	Maximum number of different partitions to be extracted from between  expression within sql query. In case of limit exceeding all partitions will be used	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	1492
IGNITE_GLOBAL_METASTORAGE_HISTORY_MAX_BYTES	IGNITE_GLOBAL_METASTORAGE_HISTORY_MAX_BYTES	Integer	"16"	Maximum number of different partitions to be extracted from between  expression within sql query. In case of limit exceeding all partitions will be used	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	1500
IGNITE_AFFINITY_BACKUPS_THRESHOLD	IGNITE_AFFINITY_BACKUPS_THRESHOLD	Long	"" + DFLT_MAX_HISTORY_BYTES	Maximum amount of bytes that can be stored in history of DistributedMetaStorage updates	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	1509
IGNITE_DISABLE_AFFINITY_MEMORY_OPTIMIZATION	IGNITE_DISABLE_AFFINITY_MEMORY_OPTIMIZATION				modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	1522
IGNITE_RECOVERY_SEMAPHORE_PERMITS	IGNITE_RECOVERY_SEMAPHORE_PERMITS	Integer		Limit the maximum number of objects in memory during the recovery procedure	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	1529
IGNITE_NODE_IDS_HISTORY_SIZE	IGNITE_NODE_IDS_HISTORY_SIZE	Integer		Limit the maximum number of objects in memory during the recovery procedure	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	1536
IGNITE_DIAGNOSTIC_WARN_LIMIT	IGNITE_DIAGNOSTIC_WARN_LIMIT	Integer	"" + DFLT_NODE_IDS_HISTORY_SIZE	Maximum size of history of server nodes (server node IDs) that ever joined  to current topology	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	1543
IGNITE_FAIL_NODE_ON_UNRECOVERABLE_PARTITION_INCONSISTENCY	IGNITE_FAIL_NODE_ON_UNRECOVERABLE_PARTITION_INCONSISTENCY	Integer	"" + DFLT_DIAGNOSTIC_WARN_LIMIT	Maximum number of diagnostic warning messages per category, when waiting for PME	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	1551
IGNITE_SQL_ALLOW_KEY_VAL_UPDATES	IGNITE_SQL_ALLOW_KEY_VAL_UPDATES				modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	1558
IGNITE_SQL_FILL_ABSENT_PK_WITH_DEFAULTS	IGNITE_SQL_FILL_ABSENT_PK_WITH_DEFAULTS		"false"	Forcibly fills missing columns belonging to the primary key with nulls  or default values if those have been specified	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	1565
IGNITE_BASELINE_AUTO_ADJUST_LOG_INTERVAL	IGNITE_BASELINE_AUTO_ADJUST_LOG_INTERVAL		"false"	Forcibly fills missing columns belonging to the primary key with nulls  or default values if those have been specified	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	1572
IGNITE_KEEP_STATIC_CACHE_CONFIGURATION	IGNITE_KEEP_STATIC_CACHE_CONFIGURATION				modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	1591
IGNITE_SQL_SYSTEM_SCHEMA_NAME_IGNITE	IGNITE_SQL_SYSTEM_SCHEMA_NAME_IGNITE				modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	1595
IGNITE_TX_OWNER_DUMP_REQUESTS_ALLOWED	IGNITE_TX_OWNER_DUMP_REQUESTS_ALLOWED		"" + DFLT_TX_OWNER_DUMP_REQUESTS_ALLOWED	Shows if dump requests from local node to near node are allowed, when  long running transaction is found. If allowed, the compute request to near node will be made to get  thread dump of transaction owner thread	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	1605
IGNITE_PAGE_LOCK_TRACKER_TYPE	IGNITE_PAGE_LOCK_TRACKER_TYPE	Integer	"" + HEAP_LOG	Page lock tracker type. -1 - Disable lock tracking. 1 - HEAP_STACK.  2 - HEAP_LOG. 3 - OFF_HEAP_STACK. 4 - OFF_HEAP_LOG	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	1620
IGNITE_PAGE_LOCK_TRACKER_CAPACITY	IGNITE_PAGE_LOCK_TRACKER_CAPACITY	Integer	"" + DFLT_PAGE_LOCK_TRACKER_CAPACITY	Capacity in pages for storing in page lock tracker strucuture	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	1629
IGNITE_PAGE_LOCK_TRACKER_CHECK_INTERVAL	IGNITE_PAGE_LOCK_TRACKER_CHECK_INTERVAL	Integer	"" + DFLT_PAGE_LOCK_TRACKER_CAPACITY	Capacity in pages for storing in page lock tracker strucuture	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	1638
IGNITE_DUMP_PAGE_LOCK_ON_FAILURE	IGNITE_DUMP_PAGE_LOCK_ON_FAILURE	Integer	"" + DFLT_PAGE_LOCK_TRACKER_CHECK_INTERVAL	Page lock tracker thread for checking hangs threads interval	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	1647
IGNITE_LOG_CLASSPATH_CONTENT_ON_STARTUP	IGNITE_LOG_CLASSPATH_CONTENT_ON_STARTUP		"" + DFLT_DUMP_PAGE_LOCK_ON_FAILURE	Enables threads locks dumping on critical node failure	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	1654
IGNITE_LONG_TRANSACTION_TIME_DUMP_THRESHOLD	IGNITE_LONG_TRANSACTION_TIME_DUMP_THRESHOLD	Long		Threshold timeout for long transactions, if transaction exceeds it, it  will be dumped in log with information about how much time did it spent in system time (time while acquiring  locks, preparing, committing, etc) and user time (time when client node runs some code while holding  transaction and not waiting it). Equals 0 if not set. No long transactions are dumped in log if nor  this parameter neither IGNITE_TRANSACTION_TIME_DUMP_SAMPLES_COEFFICIENT is set	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	1668
IGNITE_TRANSACTION_TIME_DUMP_SAMPLES_COEFFICIENT	IGNITE_TRANSACTION_TIME_DUMP_SAMPLES_COEFFICIENT	Float		The coefficient for samples of completed transactions that will be dumped  in log. Must be float value between 0.0 and 1.0 inclusive	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	1676
IGNITE_TRANSACTION_TIME_DUMP_SAMPLES_PER_SECOND_LIMIT	IGNITE_TRANSACTION_TIME_DUMP_SAMPLES_PER_SECOND_LIMIT				modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	1687
IGNITE_PAGES_LIST_DISABLE_ONHEAP_CACHING	IGNITE_PAGES_LIST_DISABLE_ONHEAP_CACHING				modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	1700
IGNITE_MASTER_KEY_NAME_TO_CHANGE_BEFORE_STARTUP	IGNITE_MASTER_KEY_NAME_TO_CHANGE_BEFORE_STARTUP	String		The master key name that the node will use during the recovery. If a node  was unavailable during a master key change process it won't be able to join to cluster with old the  master key. Set up this property to re-encrypt cache keys on startup and join to cluster with the valid  master key name	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	1713
IGNITE_DISABLE_GRP_STATE_LAZY_STORE	IGNITE_DISABLE_GRP_STATE_LAZY_STORE		"false"	Disable group state lazy store. It means that group state won't be cached  and will be read from wal every time	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	1722
IGNITE_ENABLE_EXTRA_INDEX_REBUILD_LOGGING	IGNITE_ENABLE_EXTRA_INDEX_REBUILD_LOGGING				modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	1733
IGNITE_WAIT_FOR_BACKUPS_ON_SHUTDOWN	IGNITE_WAIT_FOR_BACKUPS_ON_SHUTDOWN				modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	1745
IGNITE_ENABLE_SUBQUERY_REWRITE_OPTIMIZATION	IGNITE_ENABLE_SUBQUERY_REWRITE_OPTIMIZATION				modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	1754
IGNITE_TCP_COMM_SET_ATTR_HOST_NAMES	IGNITE_TCP_COMM_SET_ATTR_HOST_NAMES				modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	1764
IGNITE_TCP_COMM_MSG_QUEUE_WARN_SIZE	IGNITE_TCP_COMM_MSG_QUEUE_WARN_SIZE	Integer		When set to positive number warning will be produced when outgoing message queue size of  TCP communication SPI exeeds provided value. Default is 0 (do not print warning)	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	1773
IGNITE_DUMP_TX_COLLISIONS_INTERVAL	IGNITE_DUMP_TX_COLLISIONS_INTERVAL	Integer	"" + DFLT_DUMP_TX_COLLISIONS_INTERVAL	When above zero, prints tx key collisions once per interval. Each  transaction besides OPTIMISTIC SERIALIZABLE capture locks on all enlisted keys, for some reasons per key  lock queue may rise. This property sets the interval during which statistics are collected	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	1785
IGNITE_TEST_ENV	IGNITE_TEST_ENV	Boolean		Set to true only during the junit tests.  Can be used for changing behaviour of tightly coupled code pieces during the tests.  Use it as a last resort only, prefer another toolchain like DI, mocks and etc. if possible	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	1798
IGNITE_DEFRAGMENTATION_REGION_SIZE_PERCENTAGE	IGNITE_DEFRAGMENTATION_REGION_SIZE_PERCENTAGE	Integer	"" + DFLT_DEFRAGMENTATION_REGION_SIZE_PERCENTAGE	Defragmentation region size percentage of configured region size.  This percentage will be calculated from largest configured region size and then proportionally subtracted  from all configured regions	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	1810
IGNITE_PERF_STAT_FILE_MAX_SIZE	IGNITE_PERF_STAT_FILE_MAX_SIZE	Long	"" + DFLT_FILE_MAX_SIZE	Maximum performance statistics file size in bytes. Performance statistics collection  is stopped when the file size is exceeded	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	1819
IGNITE_PERF_STAT_BUFFER_SIZE	IGNITE_PERF_STAT_BUFFER_SIZE	Long	"" + DFLT_FILE_MAX_SIZE	Maximum performance statistics file size in bytes. Performance statistics collection  is stopped when the file size is exceeded	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	1827
IGNITE_PERF_STAT_FLUSH_SIZE	IGNITE_PERF_STAT_FLUSH_SIZE	Integer	"" + DFLT_BUFFER_SIZE	Performance statistics off heap buffer size in bytes	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	1835
IGNITE_PERF_STAT_CACHED_STRINGS_THRESHOLD	IGNITE_PERF_STAT_CACHED_STRINGS_THRESHOLD	Integer	"" + DFLT_FLUSH_SIZE	Minimal performance statistics batch size to be flushed in bytes	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	1843
IGNITE_CALCITE_EXEC_IN_BUFFER_SIZE	IGNITE_CALCITE_EXEC_IN_BUFFER_SIZE	Integer	"" + DFLT_CACHED_STRINGS_THRESHOLD	Maximum performance statistics cached strings threshold. String caching is  stopped when the threshold is exceeded	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	1850
IGNITE_CALCITE_EXEC_MODIFY_BATCH_SIZE	IGNITE_CALCITE_EXEC_MODIFY_BATCH_SIZE	Integer		Calcite-based SQL engine. Buffer size (count of rows) for query execution nodes	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	1857
IGNITE_CALCITE_EXEC_IO_BATCH_SIZE	IGNITE_CALCITE_EXEC_IO_BATCH_SIZE	Integer		Calcite-based SQL engine. Batch size (count of rows) for cache modify execution nodes	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	1864
IGNITE_CALCITE_EXEC_IO_BATCH_CNT	IGNITE_CALCITE_EXEC_IO_BATCH_CNT	Integer		Calcite-based SQL engine. Batch size (count of rows) for outgoing data message	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	1871
IGNITE_CALCITE_REL_JSON_PRETTY_PRINT	IGNITE_CALCITE_REL_JSON_PRETTY_PRINT	Integer		Calcite-based SQL engine. Maximum number of pending data messages for each outbox	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	1878
IGNITE_INDEX_REBUILD_BATCH_SIZE	IGNITE_INDEX_REBUILD_BATCH_SIZE			Calcite-based SQL engine. Pretty print serialized to JSON plan, when sending it to  remote nodes	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	1886
IGNITE_THROTTLE_INLINE_SIZE_CALCULATION	IGNITE_THROTTLE_INLINE_SIZE_CALCULATION	Integer	"" + DFLT_IGNITE_INDEX_REBUILD_BATCH_SIZE	Count of rows, being processed within a single checkpoint lock when indexes are rebuilt	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	1894
IGNITE_SNAPSHOT_SEQUENTIAL_WRITE	IGNITE_SNAPSHOT_SEQUENTIAL_WRITE	Integer	"" + DFLT_THROTTLE_INLINE_SIZE_CALCULATION	Throttle frequency for an index row inline size calculation and logging index inline size recommendation	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	1903
IGNITE_CONFIGURATION_VIEW_PACKAGES	IGNITE_CONFIGURATION_VIEW_PACKAGES		"" + DFLT_IGNITE_SNAPSHOT_SEQUENTIAL_WRITE	Flag to indicate that disk writes during snapshot process should be in a sequential  manner when possible. This generates extra disk space usage	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	1912
IGNITE_MESSAGE_UNMARSHAL_ONCE_CHECK	IGNITE_MESSAGE_UNMARSHAL_ONCE_CHECK			Packages list to expose in configuration view	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	1916
